"","GattungArt","Deckung"
"1","Achillea erba-rotta subs. moschata",0.0116666666666667
"2","Antennaria dioica",0.0216666666666667
"3","Anthoxanthum odoratum subs. alpinum",0.0616666666666667
"4","Calluna vulgaris",0.005
"5","Campanula scheuchzeri",0.00666666666666667
"6","Carex curvula",0.08
"7","Carex eckinata",0.005
"8","Carex nigra",0.00166666666666667
"9","Cerastium alpinum",0.00166666666666667
"10","Chrysanthemum parthenium",0.00166666666666667
"11","Deschampsia flexuosa",0.105
"12","Erigeron uniflorum",0.00166666666666667
"13","Euphrasia minima",0.0133333333333333
"14","Festuca halleri",0.00166666666666667
"15","Festuca pulchella",0.00166666666666667
"16","Festuca violacea",0.00833333333333333
"17","Galium album",0.00166666666666667
"18","Gentiana acaulis",0.00166666666666667
"19","Helictotrichon versicolor",0.186666666666667
"20","Hieracium alpinum",0.00666666666666667
"21","Hieracium pilosella",0.0516666666666667
"22","Juncus trifidus",0.01
"23","Ligusticum mutellina",0.00166666666666667
"24","Loiseleuria procumbens",0.05
"25","Lotus alpinus",0.0166666666666667
"26","Lotus corniculatus",0.00166666666666667
"27","Luzula alpinopilosa",0.00166666666666667
"28","Luzula multiflora",0.00666666666666667
"29","Nigritella nigra",0.00333333333333333
"30","Phylosa??? alpinum???",0.00166666666666667
"31","Phyteuma hemisphaericum",0.0116666666666667
"32","Polygonum viviparum",0.00833333333333333
"33","Potentilla aurea",0.0233333333333333
"34","Potentilla erecta",0.0116666666666667
"35","Pulsatilla vernalis",0.045
"36","Ranunculus montanus",0.00166666666666667
"37","Senecio incanus subsp. carniolicus",0.00166666666666667
"38","Thymus praecox",0.04
"39","Thymus pulegioides",0.00166666666666667
"40","Trifolium alpinum",0.01
"41","Vaccinium vitis-idaea",0.0183333333333333
"42","Veronica bellidioides",0.0133333333333333
