"","GattungArt","Deckung"
"1","Allium victorialis",0.00166666666666667
"2","Antennaria dioica",0.01
"3","Arnica montana",0.0466666666666667
"4","Calluna vulgaris",0.533333333333333
"5","Campanula barbata",0.0116666666666667
"6","Carex eckinata",0.00166666666666667
"7","Deschampsia flexuosa",0.085
"8","Gentiana acaulis",0.015
"9","Gentiana spec.",0.00333333333333333
"10","Geum montanum",0.025
"11","Helictotrichon versicolor",0.00666666666666667
"12","Hieracium alpinum",0.01
"13","Homogyne alpina",0.0233333333333333
"14","Hypochaeris uniflora",0.00833333333333333
"15","Juniperus communis var. Saxatilis",0.00166666666666667
"16","Leontodon helveticus",0.00166666666666667
"17","Luzula",0.00166666666666667
"18","Luzula alpinopilosa",0.00166666666666667
"19","Luzula lutea",0.00166666666666667
"20","Luzula luzulina",0.00166666666666667
"21","Melampyrum pratense",0.00666666666666667
"22","Nardus stricta",0.14
"23","Orchidea spec.",0.00166666666666667
"24","Phyteuma hemisphaericum",0.00166666666666667
"25","Potentilla aurea",0.005
"26","Potentilla erecta",0.025
"27","Pulsatilla alpina",0.00666666666666667
"28","Rhododendron ferrugineum",0.1
"29","Solidago virgaurea",0.005
"30","Vaccinium",0.00833333333333333
"31","Vaccinium gaultherioides",0.0166666666666667
"32","Vaccinium myrtillus",0.0516666666666667
"33","Vaccinium uliginosum",0.106666666666667
"34","Vaccinium vitis-idaea",0.045
