"","GattungArt","Deckung"
"1","Achillea erba-rotta subs. moschata",0.108333333333333
"2","Agrostis alpina",0.00166666666666667
"3","Anthenoia carpatica",0.005
"4","Anthoxanthum odoratum subs. alpinum",0.00166666666666667
"5","Carex curvula",0.55
"6","Cetraria islandica",0.00166666666666667
"7","Euphrasia minima",0.00833333333333333
"8","Euphrasia officinalis",0.00166666666666667
"9","Festuca halleri",0.005
"10","Festuca intercedens",0.00166666666666667
"11","Festuca ovina",0.00833333333333333
"12","Festuca violacea",0.00166666666666667
"13","Helictotrichon versicolor",0.0966666666666667
"14","Hieracium alpinum",0.0133333333333333
"15","Hieracium leucatenopsis",0.00166666666666667
"16","Hieracium pilosella",0.00833333333333333
"17","Homogyne alpina",0.0583333333333333
"18","Leontodon cf.",0.00166666666666667
"19","Leontodon helveticus",0.005
"20","Leucanthemopsis alpina",0.00833333333333333
"21","Ligusticum mutellina",0.01
"22","Loiseleuria procumbens",0.1
"23","Luzula lutea",0.00833333333333333
"24","Minuartia verna",0.00333333333333333
"25","Phyteuma hemisphaericum",0.0166666666666667
"26","Phyteuma orbiculare",0.00166666666666667
"27","Poa alpina",0.075
"28","Potentilla aurea",0.111666666666667
"29","Potentilla erecta",0.0333333333333333
"30","Pulsatilla vernalis",0.035
"31","Sempervivum montanum",0.0183333333333333
"32","Senecio incanus subsp. carniolicus",0.00333333333333333
"33","Trifolium alpinum",0.00166666666666667
"34","Vaccinium uliginosum",0.00166666666666667
"35","Vaccinium vitis-idaea",0.0166666666666667
"36","Veronica bellidioides",0.0466666666666667
